#TILESET IMAGE = LEVEL_7_TILES_NEW[SET][16][16][0][0]

#TILE DATA = 1024

	#TILE NUMBER = 0
		#TILE SHAPE = 0
		#SOLID SIDES = 0
		#VULNERABLE = FALSE
		#DEFAULT ENERGY = 1
		#NEXT OF KIN = -1
		#VULNERABILITY (TOP) = 0
		#VULNERABILITY (RIGHT) = 0
		#VULNERABILITY (BOTTOM) = 0
		#VULNERABILITY (LEFT) = 0
		#COLLISION MASK =  0
		#BOOLEAN PROPERTIES = 0
		#X CONVEY = 0
		#Y CONVEY = 0
		#X ACCELL = 0
		#Y ACCELL = 0
		#FRICTION = 0
		#PRIORITY = 0
		#DEAD SCRIPT = UNSET
		#PARAMETERS = 0

	#TILE NUMBER = 1
		#TILE SHAPE = 0
		#SOLID SIDES = 0
		#VULNERABLE = FALSE
		#DEFAULT ENERGY = 1
		#NEXT OF KIN = -1
		#VULNERABILITY (TOP) = 0
		#VULNERABILITY (RIGHT) = 0
		#VULNERABILITY (BOTTOM) = 0
		#VULNERABILITY (LEFT) = 0
		#COLLISION MASK =  0
		#BOOLEAN PROPERTIES = 0
		#X CONVEY = 0
		#Y CONVEY = 0
		#X ACCELL = 0
		#Y ACCELL = 0
		#FRICTION = 0
		#PRIORITY = 0
		#DEAD SCRIPT = UNSET
		#PARAMETERS = 0

	#TILE NUMBER = 2
		#TILE SHAPE = 0
		#SOLID SIDES = 0
		#VULNERABLE = FALSE
		#DEFAULT ENERGY = 1
		#NEXT OF KIN = -1
		#VULNERABILITY (TOP) = 0
		#VULNERABILITY (RIGHT) = 0
		#VULNERABILITY (BOTTOM) = 0
		#VULNERABILITY (LEFT) = 0
		#COLLISION MASK =  0
		#BOOLEAN PROPERTIES = 0
		#X CONVEY = 0
		#Y CONVEY = 0
		#X ACCELL = 0
		#Y ACCELL = 0
		#FRICTION = 0
		#PRIORITY = 0
		#DEAD SCRIPT = UNSET
		#PARAMETERS = 0

	#TILE NUMBER = 3
		#TILE SHAPE = 0
		#SOLID SIDES = 0
		#VULNERABLE = FALSE
		#DEFAULT ENERGY = 1
		#NEXT OF KIN = -1
		#VULNERABILITY (TOP) = 0
		#VULNERABILITY (RIGHT) = 0
		#VULNERABILITY (BOTTOM) = 0
		#VULNERABILITY (LEFT) = 0
		#COLLISION MASK =  0
		#BOOLEAN PROPERTIES = 0
		#X CONVEY = 0
		#Y CONVEY = 0
		#X ACCELL = 0
		#Y ACCELL = 0
		#FRICTION = 0
		#PRIORITY = 0
		#DEAD SCRIPT = UNSET
		#PARAMETERS = 0

	#TILE NUMBER = 4
		#TILE SHAPE = 0
		#SOLID SIDES = 0
		#VULNERABLE = FALSE
		#DEFAULT ENERGY = 1
		#NEXT OF KIN = -1
		#VULNERABILITY (TOP) = 0
		#VULNERABILITY (RIGHT) = 0
		#VULNERABILITY (BOTTOM) = 0
		#VULNERABILITY (LEFT) = 0
		#COLLISION MASK =  0
		#BOOLEAN PROPERTIES = 0
		#X CONVEY = 0
		#Y CONVEY = 0
		#X ACCELL = 0
		#Y ACCELL = 0
		#FRICTION = 0
		#PRIORITY = 0
		#DEAD SCRIPT = UNSET
		#PARAMETERS = 0

	#TILE NUMBER = 5
		#TILE SHAPE = 0
		#SOLID SIDES = 0
		#VULNERABLE = FALSE
		#DEFAULT ENERGY = 1
		#NEXT OF KIN = -1
		#VULNERABILITY (TOP) = 0
		#VULNERABILITY (RIGHT) = 0
		#VULNERABILITY (BOTTOM) = 0
		#VULNERABILITY (LEFT) = 0
		#COLLISION MASK =  0
		#BOOLEAN PROPERTIES = 0
		#X CONVEY = 0
		#Y CONVEY = 0
		#X ACCELL = 0
		#Y ACCELL = 0
		#FRICTION = 0
		#PRIORITY = 0
		#DEAD SCRIPT = UNSET
		#PARAMETERS = 0

	#TILE NUMBER = 6
		#TILE SHAPE = 0
		#SOLID SIDES = 0
		#VULNERABLE = FALSE
		#DEFAULT ENERGY = 1
		#NEXT OF KIN = -1
		#VULNERABILITY (TOP) = 0
		#VULNERABILITY (RIGHT) = 0
		#VULNERABILITY (BOTTOM) = 0
		#VULNERABILITY (LEFT) = 0
		#COLLISION MASK =  0
		#BOOLEAN PROPERTIES = 0
		#X CONVEY = 0
		#Y CONVEY = 0
		#X ACCELL = 0
		#Y ACCELL = 0
		#FRICTION = 0
		#PRIORITY = 0
		#DEAD SCRIPT = UNSET
		#PARAMETERS = 0

	#TILE NUMBER = 7
		#TILE SHAPE = 0
		#SOLID SIDES = 0
		#VULNERABLE = FALSE
		#DEFAULT ENERGY = 1
		#NEXT OF KIN = -1
		#VULNERABILITY (TOP) = 0
		#VULNERABILITY (RIGHT) = 0
		#VULNERABILITY (BOTTOM) = 0
		#VULNERABILITY (LEFT) = 0
		#COLLISION MASK =  0
		#BOOLEAN PROPERTIES = 0
		#X CONVEY = 0
		#Y CONVEY = 0
		#X ACCELL = 0
		#Y ACCELL = 0
		#FRICTION = 0
		#PRIORITY = 0
		#DEAD SCRIPT = UNSET
		#PARAMETERS = 0

	#TILE NUMBER = 8
		#TILE SHAPE = 0
		#SOLID SIDES = 0
		#VULNERABLE = FALSE
		#DEFAULT ENERGY = 1
		#NEXT OF KIN = -1
		#VULNERABILITY (TOP) = 0
		#VULNERABILITY (RIGHT) = 0
		#VULNERABILITY (BOTTOM) = 0
		#VULNERABILITY (LEFT) = 0
		#COLLISION MASK =  0
		#BOOLEAN PROPERTIES = 0
		#X CONVEY = 0
		#Y CONVEY = 0
		#X ACCELL = 0
		#Y ACCELL = 0
		#FRICTION = 0
		#PRIORITY = 0
		#DEAD SCRIPT = UNSET
		#PARAMETERS = 0

	#TILE NUMBER = 9
		#TILE SHAPE = 0
		#SOLID SIDES = 0
		#VULNERABLE = FALSE
		#DEFAULT ENERGY = 1
		#NEXT OF KIN = -1
		#VULNERABILITY (TOP) = 0
		#VULNERABILITY (RIGHT) = 0
		#VULNERABILITY (BOTTOM) = 0
		#VULNERABILITY (LEFT) = 0
		#COLLISION MASK =  0
		#BOOLEAN PROPERTIES = 0
		#X CONVEY = 0
		#Y CONVEY = 0
		#X ACCELL = 0
		#Y ACCELL = 0
		#FRICTION = 0
		#PRIORITY = 0
		#DEAD SCRIPT = UNSET
		#PARAMETERS = 0

	#TILE NUMBER = 10
		#TILE SHAPE = 0
		#SOLID SIDES = 0
		#VULNERABLE = FALSE
		#DEFAULT ENERGY = 1
		#NEXT OF KIN = -1
		#VULNERABILITY (TOP) = 0
		#VULNERABILITY (RIGHT) = 0
		#VULNERABILITY (BOTTOM) = 0
		#VULNERABILITY (LEFT) = 0
		#COLLISION MASK =  0
		#BOOLEAN PROPERTIES = 0
		#X CONVEY = 0
		#Y CONVEY = 0
		#X ACCELL = 0
		#Y ACCELL = 0
		#FRICTION = 0
		#PRIORITY = 0
		#DEAD SCRIPT = UNSET
		#PARAMETERS = 0

	#TILE NUMBER = 11
		#TILE SHAPE = 0
		#SOLID SIDES = 0
		#VULNERABLE = FALSE
		#DEFAULT ENERGY = 1
		#NEXT OF KIN = -1
		#VULNERABILITY (TOP) = 0
		#VULNERABILITY (RIGHT) = 0
		#VULNERABILITY (BOTTOM) = 0
		#VULNERABILITY (LEFT) = 0
		#COLLISION MASK =  0
		#BOOLEAN PROPERTIES = 0
